Acronym,Name,Location,Submission deadline,Start date,Topics
DLT 2025,The 29th International Conference on Developments in Language Theory,"Seoul, South Korea","Apr 14, 2025","Aug 19, 2025","['formal language theory', 'automata theory', 'theoretical computer science', 'logic']"
SCIDOCA 2025,Ninth International Workshop on SCIentific DOCument Analysis,"Osaka, Japan","Mar 2, 2025","May 27, 2025","['artificial intelligence', 'natural language processing', 'knowledge representation', 'text mining']"
WoReLa1,Workshop on Replication in the Language Sciences,"Frankfurt am Main, Germany","Apr 15, 2025","Jul 3, 2025","['linguistics', 'replication', 'metascience']"
AsiaLex 2025,The 18th International Conference of the Asian Association for Lexicography,"Shanghai, China","Feb 28, 2025","Sep 11, 2025",['lexicography']
GC 2025,Grammar and Corpora 2025,"Riga, Latvia","Jan 20, 2025","Jun 26, 2025","['grammar', 'corpora', 'morphology', 'semantics']"
CEFCO 2025,La voix des mots. Fenêtres de l’évolution au sein des communautés francophones,"Vancouver, Canada","Feb 15, 2025","May 15, 2025","['literature', 'french cultural studies', 'arts and humanities', 'education']"
ISGS10,10th Conference of the International Society for Gesture Studies,"Nimegen, Netherlands","Jan 31, 2025","Jul 9, 2025","['gesture', 'sign language', 'multimodality']"
ST&D 2025,2025 Annual Meeting of the Society for Text and Discourse,"Padua, Italy","Feb 10, 2025","Jul 9, 2025","['reading', 'discourse analysis', 'conversation', 'learning']"
ConfIBL2025,Annual International Conference of the Institute for Bulgarian Language 2025,"Sofia, Bulgaria","Jan 15, 2025","May 15, 2025",[]
EPITHETS & STAL-2025,Workshop on (negative and positive) expressives and slurs across languages,"Genova, Italy","Dec 10, 2024","May 7, 2025","['semantics', 'pragmatics', 'hate speech', 'slurs']"
FASAL 15,Formal Approaches to South Asian Languages 15,"Austin, TX, United States","Jan 10, 2025","Apr 11, 2025",['linguistics']
DeriMo 2025,Fifth International Workshop on Resources and Tools for Derivational Morphology,"Fribourg, Switzerland","Feb 18, 2025","Sep 4, 2025","['derivational morphology', 'linguistics', 'resources', 'tools']"
CCL4,Culture and Cognition in Language 4,"Polanczyk, Poland","Dec 31, 2024","Apr 28, 2025","['cognitive linguistics', 'rhetoric', 'sociolinguistics', 'semiotics']"
CILIDI25,3th International Conference on Digital Linguistics,"Valencia, Spain","Mar 1, 2025","Jun 26, 2025","['language learning', 'discourse analysis', 'translation', 'virtual exchanges']"
LSP 2025,Languages for Specific Purposes and the Popularization of Science in Pop Culture,"Mons, Belgium","Oct 15, 2024","May 6, 2025","['terminology', 'language for specific purposes', 'popular science', 'intermediality']"
SveBe40,Svenskans beskrivning 40,"Stockholm, Sweden","Nov 3, 2024","May 26, 2025",[]
ICLC17,17th International Cognitive Linguistics Conference,"Buenos Aires, Argentina",,"Jul 14, 2025",[]
CBC25,The Child and the Book 2025,"Tilburg, Netherlands","Oct 31, 2024","Apr 23, 2025",[]
Kokokom Tagung 2025,"Epistemische Kämpfe in polarisierten Diskursen: Dominanz und Marginalisierung von (wissenschaftlichem) Wissen in der Öffentlichkeit, oder: Auf der Suche nach dem verlorenen Common Ground?","Karlsruhe, Germany","Oct 15, 2024","Apr 2, 2025","['common ground', 'polarisierung']"
APTIF11,The 11th Asia-Pacific Translation and Interpreting Forum,"Hong Kong, Hong Kong","Jan 15, 2025","May 21, 2025","['intercultural communication', 'translation and interpreting', 'ai']"
ADDA 5,Approaches to Digital Discourse Analysis 5,"Tilburg, Netherlands",,"May 21, 2025","['infrastructure', 'online platforms', 'digital discourse', 'attention economies']"
AERJ - 2024,African Educational Research Journal,,,,[]
NTCIR-18,NTCIR-18 Task Proposal,"Tokyo, Japan",,"Jun 10, 2025",[]
Media4All11,Media for All International Conference 2025,"Hong Kong, Hong Kong","Nov 2, 2024","May 28, 2025","['media studies', 'audiovisual translation', 'media accessibility', 'media localisation']"
