Acronym,Name,Location,Submission deadline,Start date,Topics
ICIEA-EU 2026,2026 The 13th International Conference on Industrial Engineering and Applications (Europe),"Milan, Italy","Aug 15, 2025","Jan 7, 2026","['lean manufacturing', 'manufacturing systems', 'sustainability', 'information industry']"
ICNCC 2025,"2025 The 14th International Conference on Networks, Communication and Computing","Fukuoka, Japan","Jul 30, 2025","Dec 10, 2025","['signal processing', 'digital communication', 'computing', 'network']"
IIoT-25,Call for Book Chapters-Industrial Internet of Things: Innovations and Applications,,"Jul 31, 2025",,"['industrial internet of things', 'big data analytics', 'machine learning', 'smart factories']"
ACMSA2025,The 2025 Asian Conference of Management Science and Applications,"Shanghai, China","Aug 20, 2025","Dec 26, 2025",[]
FC 2025,The 15th International Conference on Frontier Computing,"OSAKA, Japan",,"Jul 7, 2025",[]
ACG 2025,Advances in Computer Games 2025,"Nomi, Ishikawa, Japan","Aug 1, 2025","Oct 21, 2025","['games', 'artificial intelligence', 'search', 'mathematical games']"
ICICET 2025,International Conference on Intelligent Systems and Computational Strategies in Engineering and Technology,"Vancouver, Canada","May 31, 2025","Aug 28, 2025",[]
ICIE2025,9th International Conference on Industrial Engineering- Industry 5.0: AI-driven Industrial Engineering for Sustainability,"Trivandrum, India","May 31, 2025","Aug 8, 2025","['transforming industries through artificial intelligence', 'advanced technologies and automation', 'sustainability for green growth', 'workforce management for industry 5.0']"
CVIP 2025,10th International Conference on Computer Vision and Image Processing,"Rupnagar, Punjab, India","Apr 25, 2025","Dec 10, 2025","['computer vision', 'image processing', 'deep learning or artificial intelligence', 'image datasets or applications']"
ISASD 2025,International Conference on Intelligent Science and Sustainable Development,"Yokohama, Japan","Apr 22, 2025","Jul 15, 2025",[]
ICCSET 2025,"International Conference on Computational Science, Engineering and Technology","Krishnagiri, India","May 10, 2025","May 16, 2025","['data analytics', 'materials', 'computational science']"
NGIEC-2025,5th National Conference on Next Generation Intelligence in Electronics and Communication Engineering,"Bangalore, India","Apr 30, 2025","May 2, 2025","['signal processing', 'embedded systems', 'vlsi design', 'iot (internet of things)']"
ICETAC2025,1st  International Conference on International Conference on Emerging Trends in Artificial Intelligence & Cyber security 2025,"Gandhinagar, India","Apr 17, 2025","Apr 21, 2025","['cyber security', 'artificial intelligence']"
SCSSS 2025,13th Scandinavian Conference on System and Software Safety,"Stockholm, Sweden","May 5, 2025","Sep 9, 2025",[]
CoC3CPS 2025,"International Workshop on Co-Design of Communication, Computing, and Control in Cyber-Physical Systems","Stockholm, Sweden","May 5, 2025","Sep 9, 2025","['co design', 'cyber physical systems', 'industrial iot', 'dependability']"
SRToITS 2025,2nd International Workshop on Safety/Reliability/Trustworthiness of Intelligent Transportation Systems,"Stockholm, Sweden","May 4, 2025","Sep 9, 2025","['functional safety/ sotif of itss', 'scenario/model based v']"
AIDETA-2025,"AI-Driven Data Science, Emerging Technologies, and Automation","Gautam Buddha Nagar ,Uttar Pradesh, India","Apr 7, 2025","Apr 25, 2025","['data science', 'artificial intelligence & emerging technologies', 'networking & security', 'computing & advanced technologies']"
DeCPS2025,DeCPS 2025(Workshop on Challenges and New Approaches for Dependable and Cyber-Physical System Engineering),"Paris, France","Apr 30, 2025","Jun 13, 2025","['artificial intelligence for cps', 'model based se for cps', 'safety and (cyber)security', 'iot edge and cloud continuum']"
UDDAC 2025,2025 University Demonstration at Design Automation Conference,,"May 31, 2025","Jun 22, 2025","['design automation', 'circuit optimization', 'machine learning for hardware', 'hardware for machine learning']"
ACM SYSTOR 2025,The 18th ACM International Systems and Storage Conference,"Haifa, Israel","May 20, 2025","Sep 8, 2025","['storage', 'systems', 'cloud', 'networking']"
ICRA workshop 2025,ICRA 2025 3rd Workshop on Human-Centric Multilateral Teleoperation,"Atlanta, GA, United States","May 1, 2025","May 23, 2025","['robotics', 'teleoperation', 'human robot interaction']"
FTCE-2025,National Conference on Future Trends & Challenges in Engineering,"Pune, India","Apr 15, 2025","Apr 24, 2025","['mechanical engineering', 'civil engineering', 'electronics']"
ACM RACS 2025,26th Research in Adaptive and Convergent Systems,"Ho Chi Mihn, Viet Nam","Aug 12, 2025","Nov 16, 2025","['software engineering', 'intelligent systems', 'agent systems and applications', 'mobile networksdata mining']"
Identity-Aware AI 2025,Identity-Aware AI 2025,"Bologna, Italy","Aug 22, 2025","Oct 25, 2025",[]
INCOTHERM 2025,1st International Conference on Thermofluids Engineering,"Dhanbad, India","Jul 1, 2025","Oct 10, 2025","['thermofluids engineering', 'energy and hvac', 'fluid flow and heat transfer', 'thermofluids in biological systems']"
GOL'26,The 8th International Conference on Logistics Operations Management: Revolutionizing Supply Chain and Logistics through Operations Research and Artificial Intelligence,"Fez, Morocco","Sep 30, 2025","May 7, 2026","['operational research', 'artificial intelligence', 'sustainable supply chain', 'transport and logistics']"
SRC7SS - Projects,SmartRaCon Scientific Seminar No. 7 - Project Sessions,"Stuttgart, Germany","May 28, 2025","Oct 15, 2025","['railways', 'train control', 'europe s rail', 'rail traffic management']"
SEIA' 2025,11th International Conference on Sensors and Electronic Instrumentation Advances,"Ponta Delgada (Azores Islands), Portugal","Aug 25, 2025","Sep 24, 2025","['sensors', 'transducers', 'measurements', 'mems']"
INTAP 2025,5th International Conference on Intelligent Technologies and Applications,"Karachi, Pakistan","May 15, 2025","Jul 22, 2025","['artificial intelligence', 'machine learning', 'natural language processing', 'smart systems']"
MEDES 2025,17th International Conference on Management of Digital EcoSystems,"Ho Chi Minh, Viet Nam","Aug 15, 2025","Nov 24, 2025","['data management', 'software engineering', 'services', 'security']"
WES 2025,World Engineers Summit 2025,"Singapore, Singapore","Jul 31, 2025","Oct 22, 2025","['renewable energy', 'electric vehicles', 'energy efficiency', 'engineering education']"
ACESS 2025,The 4th International Conference on  Advanced Civil Engineering and Smart Structures,"Bali Island, Indonesia","Jul 20, 2025","Jul 25, 2025",['geotechnical engineering']
ICSSS 2025,2025 The International Conference on System Safety and Security,"Hangzhou, China","Jul 5, 2025","Dec 12, 2025","['content generation', 'validation', 'biometric security']"
ICCMA 2025,"The 13th International Conference on Control, Mechatronics and Automation","Paris, France","May 15, 2025","Nov 24, 2025","['control theory', 'mechatronics', 'industrial automation', 'machine learning']"
NLPIR 2025,2025 9th International Conference on Natural Language Processing and Information Retrieval,"Fukuoka, Japan","Jul 15, 2025","Dec 14, 2025","['query expansion', 'author identification', 'interactive', 'ontology generation']"
ICECE 2025,2025 IEEE the 8th International Conference on Electronics and Communication Engineering,"Xi'an, China","Jul 25, 2025","Dec 26, 2025","['grid computing', 'network security', 'antenna technologies', 'multimedia networking']"
EEET 2025,2025 8th International Conference on Electronics and Electrical Engineering Technology,"Chiba, Japan","Jul 10, 2025","Dec 5, 2025","['electronics', 'sustainable energy', 'computer engineering', 'robotics']"
AENIT2025,International Congress on Applied Engineering and Innovative Technologies 2025,"Ibarra, Ecuador","May 18, 2025","May 26, 2025","['security and privacy', 'communication networks', 'information systems']"
ICETSD2026,International Congress on Engineering and Technology for Sustainable Development,"Buraimi, Oman","Oct 30, 2025","Feb 11, 2026","['green technology', 'smart technologies', 'sustainable development', 'smart cities']"
CASCON 2025,35th IEEE International Conference on Collaborative Advances in Software and COmputiNg,"Toronto, Canada",,"Nov 10, 2025","['software & computing', 'generative artificial intelligence', 'sustainable & responsible computing', 'evolving software engineering practices']"
FDTC 2025,Workshop on Fault Diagnosis and Tolerance in Cryptography 2025,"Kuala Lumpur, Malaysia",,"Sep 14, 2025",[]
AIPDL 2025,"2025 International Conference on Algorithms, Image Processing and Deep Learning","Macao, Macao",,"May 23, 2025",[]
2SICET,Second International Conference of Emerging Technologies,"Gujrat, Pakistan","Apr 22, 2025","May 6, 2025","['natural language processing (nlp)', 'artificial intelligence']"
IDEAL 2025,The 26th International Conference on Intelligent Data Engineering and Automated Learning,"Jaén, Spain","Jun 15, 2025","Nov 13, 2025","['artificial intelligence', 'data mining', 'big data analytics']"
AOMC 2025,The 2nd International Workshop on Acceleration and Optimization of Multi-modal Computing （ISCA-2025 Workshop）,"Tokyo, Japan",,"Jun 21, 2025",['multi modal computing']
LLAIS2025,Workshop on LLM-Based Agents for Intelligent Systems,"Bologna, Italy","Jun 16, 2025","Oct 25, 2025","['knowledge graph enhancement', 'reproducibility and evaluation and ethical', 'software and ai integration', 'rag and ir']"
IBE 2025,2025 Institute of Biological Engineering Annual Conference,"Salt Lake City, UT, United States",,"Sep 11, 2025","['engineering', 'innovation', 'biosensor']"
ICRAMME 2025,International Conference on Recent Advances in Metallurgy and Mechanical Engineering 2025,"Jaipur, India","Apr 21, 2025","May 2, 2025","['materials manufacturing and processing', 'thermal engineering and energy conversion', 'design and structural engineering', 'tribology for industrial application']"
SLLM 2025,SLLM- Buck The Trend: Make LLMs Specific and Reduce the Cost of Intelligence,"Bologna, Italy","Jun 1, 2025","Oct 25, 2025","['generative ai', 'llm', 'model compression', 'edge analytics']"
RAGE-KG 2025,Retrieval-Augmented Generation Enabled by Knowledge Graphs,"Nara, Japan","Aug 2, 2025","Nov 2, 2025","['retrieval augmented generation', 'knowledge graphs', 'large language models', 'semantic web']"
EBC 2025,Embedded Bobo,"Bobo-Dioulasso, Burkina Faso","Apr 30, 2025","Jun 27, 2025",[]
ISADES2025,International Symposium on AI-Driven Engineering Systems,"Tokat, Turkey","May 1, 2025","Jun 19, 2025","['natural language processing', 'human computer interaction', 'cognitive architectures and computational models', 'learning and memory mechanisms']"
CRAS-2025,Conference on New Technologies for Computer and Robot Assisted Surgery,"Lisbon, Portugal",,"Sep 10, 2025","['surgical training', 'rehabilitation', 'surgical or interventional robotics', 'computer assisted surgery']"
The 19th QiR 2025,The 19th International Conference on Quality in Research,"Yogyakarta, Indonesia","Jun 13, 2025","Oct 27, 2025","['artificial intelligence', 'renewable energy', 'biomedical bioengineering', 'engineering']"
ICEEI2025,The 10th International Conference on Electrical Engineering and Informatics 2025,"Kuching, Sarawak, Malaysia","Sep 26, 2025","Nov 13, 2025",[]
ICAI2025,1st Iberian Conference on Cybersecurity and Artificial Intelligence,"Covilhã, Portugal","Apr 15, 2025","Jul 9, 2025","['cybersecurity', 'artificial intelligence', 'computer science']"
ISTM'25,International Symposium on the Tsetlin Machine,"Rome, Italy","Jun 30, 2025","Oct 8, 2025","['learning automata', 'tselin machine', 'novel ai algorithms', 'explainable and interpretable ai']"
ICCIM 2025,"The Fourth International Conference of Construction, Infrastructure, and Materials 2025","Jakarta, Indonesia","Apr 27, 2025","Jul 24, 2025","['structural engineering and materials', 'geotechnical and earth sciences', 'sustainable transportation systems', 'green construction management']"
MSE 2025,Manufacturing Science and Education,"Sibiu, Romania","Mar 15, 2025","Jun 4, 2025",[]
RoboARCH-ICRA-25,RoboARCH 2025 @ ICRA,"Atlanta, GA, United States","Apr 8, 2025","May 23, 2025",[]
2025 TCGA,2025 TCGA Computer Game Workshop,"Taichung, Taiwan","Apr 16, 2025","May 2, 2025","['computer game', 'algorithms', 'reinforcement learning', 'deep learning']"
AgentScen2025,The 2nd Workshop on Agent AI for Scenario Planning,"Montreal, Canada",,"Aug 16, 2025",[]
22nd IBCAST 2025,International Bhurban Conference on Applied Sciences & Technology,"Murree Hills, Pakistan","May 10, 2025","Aug 19, 2025",[]
beszkut2025,Beszédkutatás - Speech Research 2025,"Budapest, Hungary","Jun 20, 2025","Oct 9, 2025","['phonetics', 'speech technology', 'speech science']"
TMC-2025,The 6th International Workshop on Talent and Management Computing,,"Jun 8, 2025","Aug 3, 2025",[]
ANSyA 2025,1st International Workshop on Advanced Neuro-Symbolic Applications,"Bologna, Italy","Jul 14, 2025","Oct 25, 2025","['neuro symbolic ai', 'informed machine learning', 'symbolic knowledge extraction or injection', 'ai trustworthiness']"
tfpu2025,"Central and Mediterranean European Conference on New Technologies, Innovations, Society and Development","Pula, Croatia","Jun 30, 2025","Jul 16, 2025","['technology', 'engineering', 'society', 'health']"
ICSSB 2025,"International Conference on Sustainable Energy, Smart Cities and Business Intelligence","Vancouver, Canada","May 31, 2025","Aug 29, 2025","['smart cities', 'sustainable energy', 'business intelligence', 'technology']"
IFTC' 2025,6th IFSA Frequency & Time Conference,"Ponta Delgada, San Miguel, Portugal","Aug 25, 2025","Sep 24, 2025","['frequency measurements', 'time measurements', 'frequency to digital converters', 'frequency and time transfer']"
MicDAT '2025,7th International Conference on Microelectronic Devices and Technologies,"Ponta Delgada (Azores Islands), Portugal","Aug 25, 2025","Sep 24, 2025","['microelectronics', 'mems', 'soc', 'vlis']"
SCHEMCON - 2025,21st Annual Session of Student Chemical Engineering Congress,"Vellore - 632014, Tamil Nadu, India","Sep 20, 2025","Oct 3, 2025","['catalysis for sustainable future', 'process modelling and simulation', 'environmental and sustainable development', 'refer event website for themes']"
ICAHS 2025,2025 IEEE International Conference on Advanced Healthcare Systems,"Hammamet, Tunisia","Jul 6, 2025","Dec 5, 2025","['artificial intelligence', 'industrial engineering', 'computer science', 'architecture']"
ATiGB2025,2025 The 10th International Conference on Applying New Technology in Green Buildings,"Danang, Viet Nam","Mar 20, 2025","Jul 25, 2025","['• civil engineering', '• renewable energy energy', 'automotive engineering and electric vehicle', '• automatic control ic semiconductor']"
MADEISD 2025,Modern Approaches in Data Engineering and Information System Design,"Tampere, Finland","Apr 30, 2025","Sep 23, 2025","['data engineering', 'information system design', 'model driven engineering', 'big data']"
ICOICC - 2025,Fourth International Conference on Innovative Strategies in Intelligent Computing and Communication,"Coimbatore, India","Dec 17, 2025","Dec 18, 2025","['artificial intelligence', 'wireless communication digital technology', 'computer vision image processing', 'electrical engineering power system']"
AI-IoT-SC-1,International Conference on AI and IoT Applications in Smart Cities,"Dubai, UAE","May 17, 2025","Jun 20, 2025","['smart city technologies', 'urban environment and connectivity', 'ai driven innovations and applications', 'decision making in smart cities']"
TCSE2025,21th TCSE 台灣軟體工程研討會,"Kaohsiung, Taiwan","May 9, 2025","Jun 27, 2025",['software engineering']
ICARAI 25,"International Conference Automatics, Robotics & Artificial Intelligence' 25","Sozopol, Bulgaria",,"Jun 13, 2025","['application of artificial intelligence', 'control engineering', 'robotics', 'industrial automation']"
NCRAMESP2K25,"National Conference on Recent Advances in  Management, Engineering, Sciences & Pharmacy","Bhopal, India","Mar 20, 2025","Apr 5, 2025","['engineering', 'management', 'pharmacy', 'science']"
AIS 2025,20th International Symposium on Applied Informatics and Related Areas,"Székesfehérvár, Hungary","Sep 21, 2025","Nov 13, 2025","['computer systems and information society', 'robotics and artificial intelligence', 'geodesy and geoinformatics', 'enterprise and economics']"
ICIDSSD '25,"International Conference on ICT for Digital, Smart, and Sustainable Development","Delhi, India","Mar 17, 2025","Apr 22, 2025","['ict', 'digital', 'sustainable development']"
IEEE SmartIoT2025,The 9th IEEE International Conference on Smart Internet of Things,"Sydney, Australia","Jul 15, 2025","Nov 17, 2025","['internet of things', 'artificial intelligence', 'big data analysis']"
DX'25,The 36th International Conference on Principles of Diagnosis and Resilient Systems,"Nashville, TN, United States","May 8, 2025","Sep 22, 2025","['diagnosis', 'artificial intelligence', 'resilient systems', 'design and runtime verification']"
TDSAI-PIDV 2025,The Dark Side of AI: Privacy Invasions and Data Vulnerabilities.,"New Delhi, India","May 31, 2025",,"['privacy concerns', 'role of ai', 'cyber attacks exploiting ai', 'risks of data breaches']"
ICFTMME-2025,International Conference on Future Trends in Materials and Mechanical Engineering,"Ghaziabad, India",,"Sep 12, 2025",[]
IEEE IMC 2025,13th IEEE International Conference on Intelligent Mobile Computing,"Tucson, AZ, United States","Mar 21, 2025","Jul 21, 2025","['artificial intelligence', 'security', 'mobile']"
SCAN 2025,"20th International Symposia on Scientific Computing, Computer Arithmetic, and Verified Numerical Computations","Oldenburg, Germany",,"Sep 22, 2025",[]
IEEE AI TEST 2025,7th IEEE International Conference on Artificial Intelligence Testing,"Tucson, AZ, United States","Apr 1, 2025","Jul 21, 2025","['artificial intelligence', 'software testing']"
ICIL 2025,International Conference on Industrial Logistics,"Tokyo, Japan","Jul 31, 2025","Oct 30, 2025","['logistics', 'supply chain management', 'inventory management', 'transportation']"
DS2-MH at SDM25,International Workshop on Data Science for Smart Manufacturing and Healthcare,"Alexandria, VA, United States","Mar 23, 2025","May 1, 2025",[]
IEEE BigDataService 2025,IEEE International Conference on Big Data Computing Service and Machine Learning Applications,"Tucson, AZ, United States","Apr 25, 2025","Jul 21, 2025","['distributed systems', 'machine learning', 'big data service']"
IEEE COLCOM 2025,2025 IEEE Colombian Conference on Communications and Computing,"Popayán, Colombia",,"Aug 13, 2025","['smart cities', 'cybersecurity', 'wireless communications and networking', 'ai for networking']"
REWBAH'25,"6th International Workshop on Requirements Engineering  for Well-Being, Aging, and Health","Valencia, Spain","Jun 9, 2025","Sep 2, 2025","['well being', 'requirements engineering', 'aging', 'health systems']"
CINTI 2025,IEEE 25th International Symposium on Computational Intelligence and Informatics,"Budapest, Hungary","Aug 4, 2025","Nov 18, 2025","['computational intelligence', 'soft computing', 'intelligent techniques', 'fuzzy technology']"
1EFAC,"Virtual Conference on Generative AI: Exploring the Future of AI-Generated Content""","Singapore, Singapore","Mar 25, 2025","Apr 10, 2025","['generative ai', 'ai workload automation', 'ai content generation']"
ICMEE 2025,2025 the 11th International Conference on Mechanical and Electronics Engineering,"Shenzhen, China","Jun 30, 2025","Dec 26, 2025","['electrical engineering', 'robotics', 'engineering', 'materials engineering']"
CSAI 2025,2025 The 9th International Conference on Computer Science and Artificial Intelligence,"Beijing, China","May 30, 2025","Dec 12, 2025","['machine learning', 'mobile computing', 'cognitive models', 'data management']"
ICGIP 2025,2025 17th International Conference on Graphics and Image Processing,"Nanjing, China","Jun 25, 2025","Nov 7, 2025","['spectral analysis', 'filter design', 'computer vision', 'computer graphics']"
CAIT 2025,2025 6th International Conference on Computers and Artificial Intelligence Technology,"Huizhou, China","Jul 20, 2025","Dec 12, 2025","['machine learning', 'artificial intelligence', 'computer vision', 'data mining']"
PHM-Xi'an-2025,2025 Global Reliability and Prognostics and Health Management Conference,"Xi'an, China","Jun 20, 2025","Oct 10, 2025","['artificial intelligence and machine learning', 'reliability and quality engineering', 'prognostics and health management (phm)', 'maintainability availability and safety']"
IMEDITEC 2025,4th International Medical Devices and Technology Conference 2025,"PENANG, Malaysia",,"Sep 18, 2025",[]
TICEC 2025,13th Ecuadorian Conference on Information and Communication Technologies,"Quito, Ecuador","Jun 29, 2025","Oct 16, 2025","['software', 'e learning', 'ict and their applications', 'data science and artificial intelligence']"
ICIRET-2025,International Conference on Innovative Research in Engineering and Technology 2025,"Mayiladuthurai, India","Mar 17, 2025","Mar 28, 2025",[]
IDASS2025,2nd lnternational Conference on Intelligent Data Analytics and Sustainable Systems,"Qingdao, China","Aug 20, 2025","Oct 20, 2025","['computer vision', 'human machine interaction', 'machine learning', 'data science']"
Sustain Bahrain 2025,International Conference on Sustainability and Innovation Processes and Systems,"Riffa, Bahrain","Apr 25, 2025","Jun 23, 2025","['business sustainability', 'digital transformation', 'sustainable engineering', 'sustainable tourism']"
ISDH 2025,International Symposium for Digital Health 2025,"Shatin, Hong Kong","Apr 30, 2025","Aug 27, 2025","['digital health', 'hypertension', 'cardiology', 'engineering (health related)']"
RelStat-2025,The 25th International Conference Reliability and Statistics in Transportation and Communication: Ecosystems for Smart Connectivity and Intelligent Mobility,"Riga, Latvia","Jul 11, 2025","Oct 16, 2025","['robotics and automation', 'machine learning', 'artificial intelligence', 'intelligent mobility']"
ISVC'25,20th International Symposium on Visual Computing,"Las Vegas, NV, United States","Aug 20, 2025","Nov 17, 2025","['computer vision', 'computer graphics', 'visualization', 'virtual reality']"
CINT2025,The 7th Conference on Intelligent Networked Things,"Zhuhai, China",,"Jun 13, 2025","['intelligent perception and interconnection', 'complex system modeling and simulation', 'intelligent control and decision making', 'intelligent internet of things application']"
RISEM-2K25,Recent Innovation in Science Engineering & Management,"Greater Noida, India","Mar 22, 2025","Mar 28, 2025","['science', 'management', 'artificial intelligence', 'engineering all disciplines']"
16th ICCCNT 2025,16th International IEEE Conference on Computing Communication and Networking Technologies,"Indore, India","Apr 15, 2025","Jul 6, 2025","['computing computer vision iot biometrics', 'communication 5g wireless', 'networks robotics cyber security', 'data science photonics electronics packaging']"
ISMQC 2025,The 13th International Symposium on Measurement and Quality Control - Quality and Accuracy in the Age of Data Driven Manufacturing,"Cluj-Napoca, Romania","May 15, 2025","Sep 2, 2025",[]
PAINE 2025,Ieee International Conference on Physical Assurance and Inspection of Electronics,"Denver, CO, United States","Jul 18, 2025","Oct 14, 2025","['new metrologies for characterization', 'emerging topics in physical inspection', 'test vehicles and performance quantification', 'secure advanced packaging']"
MAI-XAI25,"2nd Workshop on Multimodal, Interactive and Affective eXplainable Artificial Intelligence","Bologna, Italy","May 21, 2025","Oct 25, 2025","['multimodal explainable ai', 'affective explainable ai', 'interactive explainable ai']"
DGON ISA 2025,DGON Inertial Sensors and Applications 2025,"Braunschweig, Germany","Jul 28, 2025","Oct 21, 2025","['inertial navigation', 'accelerometers', 'inertial navigation sensors', 'gyroscopes']"
RAEMPS 2K25,"Recent Advances in Engineering, Management, Pharmacy & Sciences RAEMPS 2K25","Bhopal, India","Mar 25, 2025","Apr 5, 2025","['computer science and engineering', 'artificial intelligence and machine learning', 'mechanical engineering', 'applied sciences and pharmaceutical sciences']"
GAITDI 2025,2025 International Conference on Harnessing Generative AI for Telecommunication and Digital Innovation,"Beijing, China",,"Jul 18, 2025","['generative ai and telecommunications', 'generative ai for digital transformation', 'generative ai in software development', 'generative ai for ethics']"
AWR SUMMIT 2025,International Summit of Partner Radios of AfricaWebRadio,"Grand-Popo, Benin","May 25, 2025","Jul 24, 2025","['artificial intelligence and broadcasting', 'robotics and broadcasting', 'new economic models in broadcasting', 'electrical engineering renewable energy']"
