Acronym,Name,Location,Submission deadline,Start date,Topics
AWR SUMMIT 2025,International Summit of Partner Radios of AfricaWebRadio,"Grand-Popo, Benin","May 25, 2025","Jul 24, 2025","['artificial intelligence and broadcasting', 'robotics and broadcasting', 'new economic models in broadcasting', 'electrical engineering renewable energy']"
ICAEEMI2025,"3rd International Conference on AI, Emerging Technologies, and EMI in Business and Management","Taichung, Taiwan","Mar 25, 2025","Apr 15, 2025","['emi in business education', 'ai application', 'ai driven innovation', 'cybersecurity and ethics']"
ICRMC 2025,International Conference on Recent Trends in Management and Commerce,"Krishnagiri, India","Mar 20, 2025","Mar 28, 2025","['banking', 'accounting', 'business', 'management']"
ICFBP 2025,The 2025 International Conference on Future Business Perspectives,"Ho Chi Minh City, Viet Nam","Jun 30, 2025","Dec 20, 2025","['digital innovation', 'sustainability', 'resilience', 'business management']"
ITSBT(2025),International Conference on Innovative Technologies for Sustainable Business  Transformation,,"Apr 5, 2025","Apr 12, 2025","['marketing', 'finance', 'hr analytics', 'information technology']"
BIR 2025,24th International Conference on Perspectives in Business Informatics Research,"Riga, Latvia","May 7, 2025","Sep 17, 2025","['digital transformation', 'information security', 'intelligent systems', 'conceptual modeling']"
IBACMRI 2025,International BIG Academy Conference on Multidisciplinary Research and Innovation 2025,"Riyadh, Saudi Arabia","Apr 15, 2025","Apr 26, 2025",[]
Innovate Forum 2025,"World AI, Automation and Technology Forum, Davos","Davos, Switzerland","Mar 31, 2025","Apr 16, 2025","['artificial intelligence', 'sustainability', 'social sciences', 'public management']"
HELIX 2025,"Transforming Regions through Innovation, Sustainability and Collaboration","Bragança, Portugal",,"Jun 26, 2025",[]
SmaCE'25,7th IEEE International Workshop on  Smart Circular Economy,"Lucca, Italy","May 7, 2025","Jun 9, 2025",[]
CCSE 2025,5th Conference on Cooperatives and the Solidarity Economy,"Sandton, South Africa",,"Nov 4, 2025",[]
CIE2025,The 52nd International Conference on Computers and Industrial Engineering,"Lyon, France","Apr 30, 2025","Oct 29, 2025",[]
GARSJRW25,GARS Junior Research Workshop 2025,"Berlin, Germany","Apr 30, 2025","May 20, 2025",[]
The 38th ISoF,The 38th International Society of Franchising Conference,"Tochni, Cyprus","Feb 28, 2025","May 21, 2025","['artificial intelligence', 'omnichannel and digitalization', 'franchisee franchisor relationships and governance', 'emerging research methods']"
IBRS2025,IBRS 2025: 2nd International Business Research Symposium,"Ifrane, Morocco","May 15, 2025","Jun 28, 2025","['information systems', 'management', 'marketing', 'finance']"
CHITA 2025,Conference on Health Information Technology and Analytics 2025,"Austin, TX, United States","Feb 28, 2025","Apr 26, 2025",[]
WCST 2025,The 3rd World Conference on Smart Tourism,"Macao, China","May 25, 2025","Dec 17, 2025","['smart tourism topics', 'a.i. topics', 'general hospitality and tourism topics']"
2025_JPIM_RF,2025 JPIM Research Forum,"Chicago, IL, United States",,"Sep 13, 2025","['innovation management', 'new product and service development', 'artificial intelligence and innovation', 'consumer innovation and adoption']"
PlatStrat2025,Platform Strategy Research Summit,"Boston, MA, United States","Apr 11, 2025","Jul 14, 2025","['platform governance', 'regulation', 'platform strategy', 'data']"
MSP 2025 Sustainable Fashion,Future of Sustainable Fashion,,"Apr 30, 2025","Jun 5, 2025",[]
ICCRIP-2025,"International Conference in Construction, Real Estate, Infrastructure, and Project Management","Pune, India","May 15, 2025","Aug 22, 2025","['construction management', 'project management', 'real estate architecture planning', 'modern construction materials and methods']"
19th ISDSI Global Conference,Tech for Net Zero: Digital Solutions for a Sustainable Planet,"Kolkata, India","Jun 30, 2025","Dec 26, 2025","['circular economy', 'sustainable development goals', 'technology innovation and sustainability', 'climate change and environmental management']"
PIM11,"Entrepreneurship, Engineering and Management","Zrenjanin, Serbia","Mar 31, 2025","Apr 26, 2025","['cc and industry 5.0', 'cc and ict', 'cc and engineering education', 'cc and sustainable development rm']"
TIMTED 2025,International Conference “Current Economic Trends in Emerging and Developing Countries”,"Timisoara, Romania","Apr 30, 2025","May 22, 2025","['economics', 'business']"
4th ICMRSI,4th International Conference on Multidisciplinary Research for Sustainable Innovation,"Bandung, Indonesia","Mar 17, 2025","Apr 16, 2025","['public health', 'general psychology', 'economics and business', 'accounting/management/marketing']"
ICBEM25,1st International Conference on Building Engineering & Management,India,"Jun 30, 2025","Nov 3, 2025","['modern methods in building engineering', 'advancements in construction management practices', 'sustainable design and construction practices', 'urban infrastructure project challenges']"
EINGC2025,International Conference on Entrepreneurship and Innovation: Navigating Global Challenges,"Kanpur, India","Mar 10, 2025","Mar 24, 2025",['strategic management']
ICAEEMI2025,"3rd International Conference on AI, Emerging Technologies, and EMI in Business and Management","Taichung, Taiwan","Mar 20, 2025","Apr 15, 2025","['emi in business education', 'ai application', 'ai driven innovation', 'cybersecurity and ethics']"
ARC XX ICMIT Industry 5.0-2025,The International Conference in Management & Information Technology on Industry 5.0 - 2025,"Thailand, Thailand","Mar 1, 2025","Apr 3, 2025","['strategic leadership and organizational development', 'sustainable business practices', 'innovation and technology management', 'finance and risk management']"
LOGIC 2025,6th Logistics International Conference,"Belgrade, Serbia","Mar 31, 2025","May 22, 2025","['logistics', 'operations research', 'supply chains management', 'decision sciences']"
EDSI Conference 2025,"15th EDSI Annual Conference - Decision Making facing economic, environmental and social changes","Gothenburg, Sweden","Feb 10, 2025","Jun 1, 2025","['business analytics', 'supply chain management', 'operations strategy', 'energy transition']"
FAMAC2025,"Finnish Academy of Marketing 4th international annual conference, Tampere, Finland","Tampere, Finland","Apr 15, 2025","Jun 16, 2025","['marketing', 'consumer behavior', 'digital marketing', 'b2b / industrial marketing']"
TSL 2025,INFORMS TSL Workshop 2025,"Seoul, South Korea","Jan 31, 2025","May 19, 2025","['operations research', 'machine learning', 'transportation science', 'logistics']"
BESD 2025,Business Ecosystems: Sustainable Development,"Zaporizhzhia, Ukraine","Jan 21, 2025","Feb 3, 2025","['environmental engineering', 'human capital', 'digital transformation', 'ecosystems']"
Conferencia Internacional ASCOLFA 2025,Transformación organizacional y liderazgo en la era digital,"Medellín, Antioquia, Colombia","Mar 9, 2025","Mar 25, 2025","['transformacion digital y nuevas tecnologías', 'innovacion y sostenibilidad en modelos', 'liderazgo y contextos de cambio', 'competencias y desarrollo profesional educación']"
LMDE2025,Leading and Managing in the Digital Era,"Athens & Syros, Greece","Jan 26, 2025","Jun 13, 2025","['leadership governance and ai', 'ai and data analytics', 'strategy innovation and entrepreneurship', 'transforming business education and research']"
MSP2025 Responsible Transition to a Green Future,Responsible Transition to a Green Future,"Delhi, India","Feb 15, 2025","Apr 9, 2025","['production consumption recycling', 'smart sustainable digitalised cities', 'brand strategies portfolios sustainability', 'strategic leadership trends']"
ICEC 2025,26th International Conference on Electronic Commerce,"Tianjin, China","Mar 30, 2025","Jun 6, 2025",[]
2025 ESG,2025 GLOBAL ESG CONFERENCE,"Phuket, Thailand","Mar 21, 2025","May 23, 2025","['climate change', 'social impact', 'diversity and inclusion', 'esg reporting']"
Society 5.0 2025,Society 5.0 Conference 2025,"San Benedetto Del Tronto, Italy","Feb 10, 2025","Jun 25, 2025","['education', 'business information systems', 'innovation in the digital age', 'human system interaction scenarios']"
ICEB2025,The 25th International Conference on Electronic Business,"Hanoi, Viet Nam","Jul 1, 2025","Aug 21, 2025","['artificial intelligence', 'digital economy', 'cloud services', 'data analytics']"
DecisionCAMP-2025,Decision Intelligence Technologies,"Monroe, NJ, United States",,"Sep 22, 2025","['decision intelligence and generative ai', 'operational business decision services', 'business rules and decision modeling', 'rules discovery and decision optimization']"
ALTEC 2025,XXI Congreso Latino-Iberoamericano Gestión Tecnológica y de la Innovación ALTEC 2025,"Santiago, Chile","May 15, 2025","Sep 30, 2025","['innovación', 'transferencia tecnológica', 'politica tecnologíca', 'innovación y desarrollo']"
2025 TTRA Annual International Conference,"EXPLORE, INNOVATE, TRANSFORM: Shaping the Future of Global Travel and Tourism Research","Galway, Ireland","Dec 18, 2024","Jun 24, 2025","['destination management and marketing', 'mega trends on tourism', 'the role of residents', 'closing the attitude behavior gap']"
PLM 2025,"IFIP 22st International Conference on Product Lifecycle Management, Seville, Spain","Seville, Spain","Mar 14, 2025","Jul 7, 2025","['data management & it', 'design & manufacturing', 'modelling & simulation', 'sustainability, human in industry 4.0/5.0']"
ISPEM 2025,Intelligent Systems in Production Engineering and Maintenance,"Wroclaw, Poland","Jan 10, 2025","Jun 25, 2025","['production systems management and maintenance', 'industry 4.0 and industry 5.0', 'quality and lean management', 'manufacturing technology']"
ASC 2025-Doctoral Forum,Associated Schools of Construction 61st Annual International Conference - Doctoral Forum,"Calgary, Alberta, Canada","Dec 16, 2024","Apr 23, 2025","['built environment', 'construction management', 'architecture', 'civil engineering']"
GRASFI 2025,Global Research Alliance for Sustainable Finance and Investment 2025 Annual Conference,"PARIS, France","Feb 14, 2025","Aug 25, 2025",[]
CACAIS 2025 Conference,2025 Conference of the Central African Chapter of the AIS,"Yaoundé, Cameroon","Jan 17, 2025","Jun 5, 2025","['technology', 'information systems', 'digital', 'management information systems']"
CCTS 2025,"2nd International Conference on Creativity, Technology, and Sustainability","Jeddah, Saudi Arabia",,"Apr 30, 2025",[]
AIBMT-2024,Artificial Intelligence as a Business Management Tool,"Lucknow, India","Mar 30, 2025",,"['algorithmic decision making', 'technology adoption', 'ai integration', 'automation solutions']"
IFM - International Congress 2025,IFM International Congress - Strategies and Dynamics in Uncertain Environments,"Bracelos, Portugal",,"Mar 27, 2025",[]
2025ICBEM,"International Conference on  Business, Economics and Management : 2025 Integrating Digital Technology into  Business and Economics","New Taipei City, Taiwan","Mar 6, 2025","May 27, 2025","['digital transformation in business', 'economic impacts of digitalization', 'digitalization and social development', 'sustainability and digital innovation']"
Logistics & SC Analytics 2025,"Innovations in computational logistics and supply chain analytics: theories, methods, and applications","Jeddah, Saudi Arabia","Jan 15, 2025",,"['logistics', 'supply chain management', 'computing', 'business analytics']"
ENDORSE2025,The European Data Conference on Reference Data and Semantics,"Brussels, Belgium","Jan 29, 2025","Oct 8, 2025","['semantic technologies', 'reference data', 'artificial intelligence', 'digital policy making']"
COINs25,XI International Conference on Collaborative Innovation Networks,"Gorizia, Italy","Jan 15, 2025","May 21, 2025","['social network analysis', 'text mining', 'collaborative innovation networks', '(interspecies) communication']"
ISCRAM 2025,Information Systems for Crisis Response and Management 2025 Conference,"Halifax, Canada","Jan 5, 2025","May 18, 2025","['risk management', 'crisis response', 'information systems', 'technology']"
MSB2025,The Business and Modern Slavery Conference 2025: Towards Humanising the Supply Chain,"Cardiff, UK","Mar 31, 2025","Sep 9, 2025",[]
I3E 2025,"The 24th IFIP Conference e-Business, e-Services, and e-Society","Limassol, Cyprus","May 19, 2025","Sep 9, 2025","['e business', 'e services', 'e society']"
ICDEc 2025,International Conference on Digital Economy 2025,"Tunis, Tunisia","Feb 9, 2025","May 15, 2025","['digital economy', 'digital business', 'digital transformation', 'emerging technologies for business']"
IMSW 2025,8th Interdisciplinary Market Studies Workshop,"Stockholm, Sweden","Feb 7, 2025","Jun 16, 2025","['marketing', 'science and technology studies', 'constructivist market studies', 'sociology']"
CITA 2025,The 14th Conference on Information Technology and its Applications,"Phnom Penh, Cambodia","Feb 28, 2025","Jul 14, 2025","['computer vision', 'business intelligence', 'ai and collective intelligence', 'cyber security and cryptography']"
ICDTM'25,International Conference on Digital Transformation and Management,"Hammamet, Tunisia","Jan 31, 2025","May 30, 2025",[]
CHME 2025,Transforming the Hospitality Sector Through Innovation,"Colchester, UK","Feb 11, 2025","May 20, 2025","['hospitality', 'tourism', 'events']"
ICDES2025,"International Conference on Destinations, Events and Sports: Innovations and Transformations","Sapporo, Japan","Mar 28, 2025","May 8, 2025",[]
ICGLST25,"International Conference on Governance, Leadership and Socioeconomic Transformation","Entebbe, Uganda","Apr 15, 2025","Jun 25, 2025","['governance', 'leadership', 'management', 'development']"
EUCA25,EU Cyber Acts Conference,"Brussels, Belgium",,"Mar 25, 2025","['eu cyber security act', 'eu cyber resilience act', 'eucc']"
ICSIMAT 2025,International Conference on Strategic Innovative Marketing and Tourism,"Olympus Riviera, Pieria, Greece","May 15, 2025","Sep 26, 2025","['marketing', 'tourism', 'technology', 'management']"
WoPA 2025,2025 Workshop on Platform Analytics,"San Diego, CA, United States",,"Apr 4, 2025","['platforms', 'analytics']"
IAoMAD25,XIII Iberoamerican Academy of Management Conference,"Madrid, Spain","Dec 15, 2024","May 22, 2025",[]
EurOMA-SF-2025,EurOMA Sustainability Forum 2025,"Porto, Portugal","Nov 4, 2024","Mar 24, 2025","['sustainability', 'supply chain', 'operations']"
IEEE E-TEMS 2025,2025 IEEE European Technology and Engineering Management Summit,"Bruges, Belgium","Feb 2, 2025","May 26, 2025","['digital transformation', 'engineering smart systems', 'developing smart regions', 'project management']"
RISM2025,Research Innovations in Sustainable Marketing: A Global Symposium,"Madrid, Spain","Dec 1, 2024","May 27, 2025",[]
AMSWMC2025,2025 Academy of Marketing Science World Marketing Congress,"Dijon, France","Nov 1, 2024","Jul 1, 2025","['marketing research', 'consumer behavior', 'marketing strategy', 'sales management']"
MESH - 2025,International Conference on Management Engineering Sciences & Humanities - 2025,"Bangkok, Thailand","Feb 28, 2025","Mar 23, 2025","['engineering and technologies', 'sciences and general studies', 'humanities and education']"
2025AMSAC,2025 AMS Annual Conference,"Montreal, Canada","Nov 1, 2024","May 21, 2025","['marketing', 'value', 'consumer behavior', 'marketing research']"
DDTM2025,Destination Data: Charting the Course for Transformative Travel Experiences,"Ranchi, India","Jul 31, 2024","Apr 28, 2025","['travel technology', 'hospitality innovation', 'artificial intelligence in tourism', 'smart accommodations']"
SET-II 2024,Second International Symposium on The Paradigm Shift: Entrepreneurship in Next Generation,"Boston, MA, United States","Nov 30, 2024","Dec 6, 2024","['entrepreneurship development', 'entrepreneurial education', 'leadership', 'innovation and technology']"
